Row,Datum,Detail,Program
3328,"Mon Jul 26, 1971 13:34 UTC",Saturn V | Apollo 15,Apollo
3384,"Sun Jan 31, 1971 21:03 UTC",Saturn V | Apollo 14,Apollo
3475,"Sat Apr 11, 1970 19:13 UTC",Saturn V | Apollo 13,Apollo
3511,"Fri Nov 14, 1969 16:22 UTC",Saturn V | Apollo 12,Apollo
3545,"Wed Jul 16, 1969 13:32 UTC",Saturn V | Apollo 11,Apollo
3560,"Sun May 18, 1969 16:49 UTC",Saturn V | Apollo 10,Apollo
3584,"Mon Mar 03, 1969 16:00 UTC",Saturn V | Apollo 9,Apollo
3603,"Sat Dec 21, 1968 12:51 UTC",Saturn V | Apollo 8,Apollo
3626,"Fri Oct 11, 1968 15:02 UTC",Saturn IB | Apollo 7,Apollo
3826,"Fri Nov 11, 1966 20:46 UTC",Titan II GLV | Gemini XII,Gemini
3845,"Mon Sep 12, 1966 14:42 UTC",Titan II GLV | Gemini XI,Gemini
3858,"Mon Jul 18, 1966 22:20 UTC",Titan II GLV | Gemini X,Gemini
3873,"Fri Jun 03, 1966 13:39 UTC",Titan II GLV | Gemini IX-A,Gemini
3879,"Mon May 16, 1966 16:41 UTC",Titan II GLV | Gemini VIII,Gemini
3918,"Wed Dec 15, 1965 13:37 UTC",Titan II GLV | Gemini VI-A,Gemini
3920,"Sat Dec 04, 1965 19:30 UTC",Titan II GLV | Gemini VII,Gemini
3945,"Sat Aug 21, 1965 13:59 UTC",Titan II GLV | Gemini V,Gemini
3964,"Thu Jun 03, 1965 15:15 UTC",Titan II GLV | Gemini IV,Gemini
3978,"Tue Mar 23, 1965 14:24 UTC",Titan II GLV | Gemini 3,Gemini
4087,"Wed May 15, 1963 13:04 UTC",Atlas-D Mercury | Faith 7 (MA-9),Mercury
4122,"Wed Oct 03, 1962 09:13 UTC",Atlas-D Mercury | Sigma 7 (MA-8),Mercury
4157,"Thu May 24, 1962 12:45 UTC",Atlas-D Mercury | Aurora 7 (MA-7),Mercury
4177,"Tue Feb 20, 1962 14:47 UTC",Atlas-D Mercury | Friendship 7 (MA-6),Mercury
4208,"Fri Jul 21, 1961 12:36 UTC",Mercury-Redstone | Liberty Bell 7 (MR-4),Mercury
4216,"Fri May 05, 1961 14:34 UTC",Mercury-Redstone | Freedom 7 (MR-3),Mercury
