Row,Start,End,Launch Vehicle,Mission,Program,DurationDays,DurationHours,DurationMins,DurationSecs,,,
1479,"Sun Nov 12, 1995 12:30 UTC","Mon Nov 20, 1995 16:30:00 UTC",Atlantis,STS-74,Space Shuttle,08d,04h,0m,0s,,,
1468,"Thu Jan 11, 1996 09:41 UTC","Sat Jan 20, 1996 07:41:00 UTC",Endeavour,STS-72,Space Shuttle,08d,22h,0m,0s,,,
1459,"Thu Feb 22, 1996 20:18 UTC","Sat Mar 09, 1996 13:18:00 UTC",Columbia,STS-75,Space Shuttle,15d,17h,0m,0s,,,
1454,"Fri Mar 22, 1996 08:13 UTC","Sun Mar 31, 1996 13:13:00 UTC",Atlantis,STS-76,Space Shuttle,09d,05h,0m,0s,,,
1443,"Sun May 19, 1996 10:30 UTC","Wed May 29, 1996 10:30:00 UTC",Endeavour,STS-77,Space Shuttle,10d,00h,0m,0s,,,
1439,"Thu Jun 20, 1996 14:49 UTC","Sun Jul 07, 1996 11:49:00 UTC",Columbia,STS-78,Space Shuttle,16d,21h,0m,0s,,,
1421,"Mon Sep 16, 1996 08:54 UTC","Thu Sep 26, 1996 11:54:00 UTC",Atlantis,STS-79,Space Shuttle,10d,03h,0m,0s,,,
1413,"Sat Dec 07, 1996 11:49 UTC","Wed Dec 25, 1996 02:49:00 UTC",Columbia,STS-80,Space Shuttle,17d,15h,0m,0s,,,
1408,"Sun Jan 12, 1997 09:27 UTC","Wed Jan 22, 1997 13:27:00 UTC",Atlantis,STS-81,Space Shuttle,10d,04h,0m,0s,,,
1405,"Tue Feb 11, 1997 08:55 UTC","Fri Feb 21, 1997 07:55:00 UTC",Discovery,STS-82,Space Shuttle,09d,23h,0m,0s,,,
1396,"Fri Apr 04, 1997 19:20 UTC","Tue Apr 08, 1997 18:20:00 UTC",Columbia,STS-83,Space Shuttle,03d,23h,0m,0s,,,
1388,"Thu May 15, 1997 08:07 UTC","Sat May 24, 1997 13:07:00 UTC",Atlantis,STS-84,Space Shuttle,09d,05h,0m,0s,,,
1382,"Tue Jul 01, 1997 18:02 UTC","Thu Jul 17, 1997 10:02:00 UTC",Columbia,STS-94,Space Shuttle,15d,16h,0m,0s,,,
1377,"Thu Aug 07, 1997 14:41 UTC","Tue Aug 19, 1997 10:41:00 UTC",Discovery,STS-85,Space Shuttle,11d,20h,0m,0s,,,
1364,"Thu Sep 25, 1997 14:34 UTC","Mon Oct 06, 1997 09:34:00 UTC",Atlantis,STS-86,Space Shuttle,10d,19h,0m,0s,,,
1350,"Wed Nov 19, 1997 19:46 UTC","Fri Dec 05, 1997 11:46:00 UTC",Columbia,STS-87,Space Shuttle,15d,16h,0m,0s,,,
1336,"Thu Jan 22, 1998 02:48 UTC","Fri Jan 30, 1998 21:48:00 UTC",Endeavour,STS-89,Space Shuttle,08d,19h,0m,0s,,,
1320,"Fri Apr 17, 1998 18:19 UTC","Sun May 03, 1998 15:19:00 UTC",Columbia,STS-90,Space Shuttle,15d,21h,0m,0s,,,
1311,"Tue Jun 02, 1998 22:06 UTC","Fri Jun 12, 1998 17:06:00 UTC",Discovery,STS-91,Space Shuttle,09d,19h,0m,0s,,,
1281,"Thu Oct 29, 1998 19:19 UTC","Sat Nov 07, 1998 16:19:00 UTC",Discovery,STS-95,Space Shuttle,08d,21h,0m,0s,,,
1278,"Fri Dec 04, 1998 08:35 UTC","Wed Dec 16, 1998 03:35:00 UTC",Endeavour,STS-88,Space Shuttle,11d,19h,0m,0s,,,
1250,"Thu May 27, 1999 10:49 UTC","Sun Jun 06, 1999 05:49:00 UTC",Discovery,STS-96,Space Shuttle,09d,19h,0m,0s,,,
1241,"Fri Jul 23, 1999 04:31 UTC","Wed Jul 28, 1999 02:31:00 UTC",Columbia,STS-93,Space Shuttle,04d,22h,0m,0s,,,
1218,"Mon Dec 20, 1999 00:50 UTC","Mon Dec 27, 1999 23:50:00 UTC",Discovery,STS-103,Space Shuttle,07d,23h,0m,0s,,,
1206,"Fri Feb 11, 2000 16:43 UTC","Tue Feb 22, 2000 21:43:00 UTC",Endeavour,STS-99,Space Shuttle,11d,05h,0m,0s,,,
1194,"Fri May 19, 2000 10:11 UTC","Mon May 29, 2000 07:11:00 UTC",Atlantis,STS-101,Space Shuttle,09d,21h,0m,0s,,,
1179,"Fri Sep 08, 2000 12:45 UTC","Wed Sep 20, 2000 07:45:00 UTC",Atlantis,STS-106,Space Shuttle,11d,19h,0m,0s,,,
1172,"Wed Oct 11, 2000 23:17 UTC","Tue Oct 24, 2000 20:17:00 UTC",Discovery,STS-92,Space Shuttle,12d,21h,0m,0s,,,
1170,"Tue Oct 31, 2000 07:52 UTC","Sun May 06, 2001 05:40:00 UTC",Soyuz U,Soyuz TM-31,International Space Station,186d,21h,48m,0s,,,
1162,"Thu Nov 30, 2000 03:06 UTC","Sun Dec 10, 2000 22:06:00 UTC",Endeavour,STS-97,Space Shuttle,10d,19h,0m,0s,,,
